id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,auc,auc_ovo,auc_ovr,balacc,f05,f1,f2,logloss,mae,max_pce,mean_pce,mse,msle,pr_auc,r2,rmse,rmsle,models_ensemble_count
openml;org/t/3913,kc2,AutoGluon_save,2h_2F_2c_8GB,0,binary,0;848485,auc,local,0;5;0,"{'_save_artifacts': ['leaderboard', 'models', 'info']}",2;0;5,2022-06-29T07:38:30,21;0,16;9,0;04,14,1881467361,,0;773585,0;848485,,,0;555195,0;322581,0;25,0;204082,0;364478,,0;818182,0;444805,,,0;581488,,,,3;0
openml;org/t/3913,kc2,AutoGluon_save,2h_2F_2c_8GB,1,binary,0;931818,auc,local,0;5;0,"{'_save_artifacts': ['leaderboard', 'models', 'info']}",2;0;5,2022-06-29T07:38:50,20;4,16;3,0;03,14,1881467362,,0;886792,0;931818,,,0;727273,0;806452,0;625,0;510204,0;284876,,0;545455,0;272727,,,0;852345,,,,3;0
openml;org/t/59,iris,AutoGluon_save,2h_2F_2c_8GB,0,multiclass,-0;746956,neg_logloss,local,0;5;0,"{'_save_artifacts': ['leaderboard', 'models', 'info']}",2;0;5,2022-06-29T07:39:28,35;7,31;6,0;1,14,1881467361,,0;933333,,0;986667,0;986667,0;933333,0;93815,0;93266,0;931624,0;746956,,0;2,0;0666667,,,,,,,2;0
openml;org/t/59,iris,AutoGluon_save,2h_2F_2c_8GB,1,multiclass,-0;0001645,neg_logloss,local,0;5;0,"{'_save_artifacts': ['leaderboard', 'models', 'info']}",2;0;5,2022-06-29T07:41:18,109;1,104;2,0;09,14,1881467362,,1;0,,1;0,1;0,1;0,1;0,1;0,1;0,0;0001645,,0;0,0;0,,,,,,,2;0
openml;org/t/2295,cholesterol,AutoGluon_save,2h_2F_2c_8GB,0,regression,-43;502,neg_rmse,local,0;5;0,"{'_save_artifacts': ['leaderboard', 'models', 'info']}",2;0;5,2022-06-29T07:41:43,17;8,14;0,0;09,12,1881467361,,,,,,,,,,,33;2188,,,1892;43,0;0327436,,0;023157,43;502,0;180952,5;0
openml;org/t/2295,cholesterol,AutoGluon_save,2h_2F_2c_8GB,1,regression,-54;31,neg_rmse,local,0;5;0,"{'_save_artifacts': ['leaderboard', 'models', 'info']}",2;0;5,2022-06-29T07:41:59,15;8,12;0,0;2,12,1881467362,,,,,,,,,,,43;9339,,,2949;58,0;0602028,,-0;0228223,54;31,0;245363,4;0
openml;org/t/10101,blood-transfusion,AutoGluon_save,2h_2F_2c_8GB,0,binary,0;742203,auc,local,0;5;0,"{'_save_artifacts': ['leaderboard', 'models', 'info']}",2;0;5,2022-06-29T07:42:36,35;4,31;1,0;2,14,1881467361,,0;773333,0;742203,,,0;603801,0;462963,0;37037,0;308642,0;477852,,0;722222,0;396199,,,0;473822,,,,5;0
openml;org/t/10101,blood-transfusion,AutoGluon_save,2h_2F_2c_8GB,1,binary,0;859649,auc,local,0;5;0,"{'_save_artifacts': ['leaderboard', 'models', 'info']}",2;0;5,2022-06-29T07:43:01,25;4,21;2,0;09,14,1881467362,,0;786667,0;859649,,,0;593567,0;47619,0;333333,0;25641,0;412719,,0;777778,0;406433,,,0;658181,,,,3;0
openml;org/t/168910,fabert,AutoGluon_save,2h_2F_2c_8GB,0,multiclass,-0;712847,neg_logloss,local,0;5;0,"{'_save_artifacts': ['leaderboard', 'models', 'info']}",2;0;5,2022-06-29T08:26:28,2604;0,2578;6,2;1,14,1881467361,,0;726942,,0;9435,0;945702,0;69067,0;709385,0;711398,0;719112,0;712847,,0;731183,0;30933,,,,,,,8;0
openml;org/t/168910,fabert,AutoGluon_save,2h_2F_2c_8GB,1,multiclass,-0;716682,neg_logloss,local,0;5;0,"{'_save_artifacts': ['leaderboard', 'models', 'info']}",2;0;5,2022-06-29T09:10:02,2614;2,2588;6,2;8,14,1881467362,,0;741505,,0;945527,0;947224,0;71337,0;731665,0;731301,0;735955,0;716682,,0;612245,0;28663,,,,,,,9;0
openml;org/t/9952,phoneme,AutoGluon_save,2h_2F_2c_8GB,0,binary,0;964849,auc,local,0;5;0,"{'_save_artifacts': ['leaderboard', 'models', 'info']}",2;0;5,2022-06-29T09:11:56,112;7,105;5,0;1,14,1881467361,,0;900185,0;964849,,,0;879754,0;830189,0;830189,0;830189,0;227185,,0;169811,0;120246,,,0;928477,,,,3;0
openml;org/t/9952,phoneme,AutoGluon_save,2h_2F_2c_8GB,1,binary,0;974398,auc,local,0;5;0,"{'_save_artifacts': ['leaderboard', 'models', 'info']}",2;0;5,2022-06-29T09:13:41,104;9,97;4,0;4,14,1881467362,,0;926063,0;974398,,,0;916436,0;866911,0;876543,0;886392,0;20228,,0;106918,0;0835638,,,0;943939,,,,6;0
openml;org/t/3913,kc2,AutoGluon_bestquality_save,2h_2F_2c_16GB,0,binary,0;863636,auc,local,0;5;0,"{'presets': 'best_quality', '_save_artifacts': ['leaderboard', 'models', 'info']}",2;0;5,2022-06-28T18:37:49,1730;9,1617;4,9;6,14,818206247,,0;792453,0;863636,,,0;5671,0;37037,0;266667,0;208333,0;359612,,0;818182,0;4329,,,0;587225,,,,4;0
openml;org/t/3913,kc2,AutoGluon_bestquality_save,2h_2F_2c_16GB,1,binary,0;866883,auc,local,0;5;0,"{'presets': 'best_quality', '_save_artifacts': ['leaderboard', 'models', 'info']}",2;0;5,2022-06-28T19:06:09,1699;7,1568;4,26;4,14,818206248,,0;849057,0;866883,,,0;636364,0;652174,0;428571,0;319149,0;296198,,0;727273,0;363636,,,0;748404,,,,7;0
openml;org/t/59,iris,AutoGluon_bestquality_save,2h_2F_2c_16GB,0,multiclass,-0;0816533,neg_logloss,local,0;5;0,"{'presets': 'best_quality', '_save_artifacts': ['leaderboard', 'models', 'info']}",2;0;5,2022-06-28T19:58:39,3148;1,3005;2,1;6,14,818206247,,0;933333,,1;0,1;0,0;933333,0;93815,0;93266,0;931624,0;0816533,,0;2,0;0666667,,,,,,,2;0
openml;org/t/59,iris,AutoGluon_bestquality_save,2h_2F_2c_16GB,1,multiclass,-0;00289923,neg_logloss,local,0;5;0,"{'presets': 'best_quality', '_save_artifacts': ['leaderboard', 'models', 'info']}",2;0;5,2022-06-28T20:43:36,2697;3,2555;8,1;7,14,818206248,,1;0,,1;0,1;0,1;0,1;0,1;0,1;0,0;00289923,,0;0,0;0,,,,,,,2;0
