model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-49.36820570254674,1.7687149047851562,450.3131363391876,0.00035691261291503906,0.29963016510009766,2,True,12
LightGBMXT_BAG_L1,-49.375536737940564,0.3156287670135498,146.13484358787537,0.3156287670135498,146.13484358787537,1,True,3
LightGBM_BAG_L1,-50.00943475085911,0.3062460422515869,145.2115707397461,0.3062460422515869,145.2115707397461,1,True,4
CatBoost_BAG_L1,-50.013730309247826,0.31412196159362793,152.6669385433197,0.31412196159362793,152.6669385433197,1,True,6
NeuralNetFastAI_BAG_L1,-50.08915337512913,1.4527292251586914,303.87866258621216,1.4527292251586914,303.87866258621216,1,True,8
LightGBMLarge_BAG_L1,-50.518052439026285,0.3454890251159668,155.845538854599,0.3454890251159668,155.845538854599,1,True,11
NeuralNetTorch_BAG_L1,-51.153537174145455,1.1734259128570557,221.57863116264343,1.1734259128570557,221.57863116264343,1,True,10
XGBoost_BAG_L1,-52.54653243246413,0.5392665863037109,122.92894744873047,0.5392665863037109,122.92894744873047,1,True,9
RandomForestMSE_BAG_L1,-53.282592625179426,0.09305787086486816,0.48570704460144043,0.09305787086486816,0.48570704460144043,1,True,5
ExtraTreesMSE_BAG_L1,-53.32300663376092,0.09243917465209961,0.548297643661499,0.09243917465209961,0.548297643661499,1,True,7
KNeighborsDist_BAG_L1,-55.776165425305415,0.0013451576232910156,0.0032205581665039062,0.0013451576232910156,0.0032205581665039062,1,True,2
KNeighborsUnif_BAG_L1,-55.92924315487537,0.0014636516571044922,0.11844301223754883,0.0014636516571044922,0.11844301223754883,1,True,1
