model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-48.44648092549238,2.0342342853546143,489.75111985206604,0.00037479400634765625,0.30455636978149414,2,True,12
LightGBMXT_BAG_L1,-48.50147720337675,0.29895830154418945,145.69749927520752,0.29895830154418945,145.69749927520752,1,True,3
LightGBM_BAG_L1,-48.89604757677838,0.2916693687438965,144.04763770103455,0.2916693687438965,144.04763770103455,1,True,4
CatBoost_BAG_L1,-48.919947986013916,0.3126356601715088,151.32326102256775,0.3126356601715088,151.32326102256775,1,True,6
LightGBMLarge_BAG_L1,-49.03248463136794,0.33065080642700195,154.33084106445312,0.33065080642700195,154.33084106445312,1,True,11
NeuralNetFastAI_BAG_L1,-49.08533179279873,1.4389638900756836,303.39110565185547,1.4389638900756836,303.39110565185547,1,True,8
NeuralNetTorch_BAG_L1,-49.782607514765736,1.1886250972747803,219.59731459617615,1.1886250972747803,219.59731459617615,1,True,10
XGBoost_BAG_L1,-51.308462307331375,0.5462760925292969,124.15174961090088,0.5462760925292969,124.15174961090088,1,True,9
ExtraTreesMSE_BAG_L1,-51.859143459190214,0.08249139785766602,0.48422670364379883,0.08249139785766602,0.48422670364379883,1,True,7
RandomForestMSE_BAG_L1,-53.16480832258202,0.08608245849609375,0.5133609771728516,0.08608245849609375,0.5133609771728516,1,True,5
KNeighborsUnif_BAG_L1,-54.573940532532355,0.001474142074584961,0.11256980895996094,0.001474142074584961,0.11256980895996094,1,True,1
KNeighborsDist_BAG_L1,-54.81933385928766,0.0014793872833251953,0.0031456947326660156,0.0014793872833251953,0.0031456947326660156,1,True,2
