model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.9672775625831069,0.1941211223602295,76.00978970527649,0.0010652542114257812,1.210019588470459,2,True,14
ExtraTreesGini,0.9652348191401207,0.08806800842285156,0.6385319232940674,0.08806800842285156,0.6385319232940674,1,True,8
CatBoost,0.9644254302287488,0.0026221275329589844,8.413704872131348,0.0026221275329589844,8.413704872131348,1,True,7
ExtraTreesEntr,0.9630764487097956,0.08708643913269043,0.6605014801025391,0.08708643913269043,0.6605014801025391,1,True,9
RandomForestEntr,0.9618141874313464,0.08760809898376465,1.2453720569610596,0.08760809898376465,1.2453720569610596,1,True,6
RandomForestGini,0.9617852806845117,0.08943653106689453,1.140395164489746,0.08943653106689453,1.140395164489746,1,True,5
LightGBMLarge,0.9597810795706384,0.0800321102142334,3.5915565490722656,0.0800321102142334,3.5915565490722656,1,True,13
XGBoost,0.9588946060010406,0.012450218200683594,2.0923261642456055,0.012450218200683594,2.0923261642456055,1,True,11
LightGBM,0.9581237594187817,0.012910127639770508,1.4713397026062012,0.012910127639770508,1.4713397026062012,1,True,4
LightGBMXT,0.9546934921277294,0.01947927474975586,4.3182597160339355,0.01947927474975586,4.3182597160339355,1,True,3
NeuralNetTorch,0.9490084985835694,0.009883403778076172,60.063650608062744,0.009883403778076172,60.063650608062744,1,True,12
KNeighborsDist,0.93911275558382,0.003166675567626953,0.006480693817138672,0.003166675567626953,0.006480693817138672,1,True,2
NeuralNetFastAI,0.9379468501281533,0.01279306411743164,10.7178316116333,0.01279306411743164,10.7178316116333,1,True,10
KNeighborsUnif,0.9235609257867453,0.003957271575927734,0.1305713653564453,0.003957271575927734,0.1305713653564453,1,True,1
