model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.8459282841823057,3.5942368507385254,1217.3869762420654,0.0011210441589355469,1.3934037685394287,2,True,14
LightGBMXT_BAG_L1,0.8448949955317249,0.1224985122680664,165.09082794189453,0.1224985122680664,165.09082794189453,1,True,3
NeuralNetFastAI_BAG_L1,0.8434707327971402,1.686119556427002,263.0419211387634,1.686119556427002,263.0419211387634,1,True,10
CatBoost_BAG_L1,0.841041108132261,0.08099699020385742,166.78975987434387,0.08099699020385742,166.78975987434387,1,True,7
LightGBM_BAG_L1,0.83640527256479,0.10853958129882812,169.37479090690613,0.10853958129882812,169.37479090690613,1,True,4
XGBoost_BAG_L1,0.8300659070598749,0.40251851081848145,136.4707272052765,0.40251851081848145,136.4707272052765,1,True,11
LightGBMLarge_BAG_L1,0.8218554512957997,0.1345500946044922,185.08459329605103,0.1345500946044922,185.08459329605103,1,True,13
ExtraTreesGini_BAG_L1,0.8205428954423593,0.10521197319030762,0.5654478073120117,0.10521197319030762,0.5654478073120117,1,True,8
ExtraTreesEntr_BAG_L1,0.8191186327077749,0.11015176773071289,0.5811827182769775,0.11015176773071289,0.5811827182769775,1,True,9
NeuralNetTorch_BAG_L1,0.8178619302949063,1.4604110717773438,266.611679315567,1.4604110717773438,266.611679315567,1,True,12
RandomForestGini_BAG_L1,0.8105172028596962,0.1113128662109375,0.583533525466919,0.1113128662109375,0.583533525466919,1,True,5
RandomForestEntr_BAG_L1,0.8080875781948168,0.10123205184936523,0.5687441825866699,0.10123205184936523,0.5687441825866699,1,True,6
KNeighborsUnif_BAG_L1,0.7414264968722073,0.005116462707519531,0.14261555671691895,0.005116462707519531,0.14261555671691895,1,True,1
KNeighborsDist_BAG_L1,0.7324759830205541,0.0017032623291015625,0.004654645919799805,0.0017032623291015625,0.004654645919799805,1,True,2
